Density,CO,FA,ODH,DAS,FOS
2039,20,15,6,45,2.69
2039,20,25,6,45,0.2
2039,20,35,6,45,0.4
2039,20,45,6,45,0.8
2039,5,0,6,45,0.25
2039,10,0,6,45,0.51
2039,20,0,6,45,0.77
2039,2,5,6,45,1.07
2039,2,15,6,45,1.42
2039,2,25,6,45,0.43
2039,2,35,6,45,0.73
2039,2,45,6,45,1.03
2039,5,5,6,45,1.34
2039,5,15,6,45,1.68
2039,5,25,6,45,0.69
2039,5,35,6,45,1.04
2039,5,45,6,45,1.36
2039,10,5,6,45,1.69
2039,10,15,6,45,2.05
2039,10,25,6,45,1.2
2039,10,35,6,45,1.59
2039,10,45,6,45,1.95
2039,20,5,6,45,2.28
2039,20,15,6,45,2.67
2039,5,0,6,45,0
2039,10,0,6,45,2
2039,20,0,6,45,4
2039,2,5,6,45,5.9
2039,2,15,6,45,5.2
2039,2,25,6,45,4.9
2039,2,35,6,45,4.3
2039,2,45,6,45,5.1
2039,5,5,6,45,4.7
2039,5,15,6,45,1.8
2039,5,25,6,45,6.2
2039,5,35,6,45,6.1
2039,5,45,6,45,4.6
2039,10,5,6,45,3.7
2039,10,15,6,45,0.5
2039,10,25,6,45,13.2
2039,10,35,6,45,7.4
2039,10,45,6,45,5.4
2039,20,5,6,45,1.8
2039,20,15,6,45,0.7
2039,5,0,6,45,4
2039,10,0,6,45,4
2039,20,0,6,45,5.4
2039,2,5,6,45,5.9
2039,2,15,6,45,6.7
2039,2,25,6,45,4.9
2039,2,35,6,45,4.3
2039,2,45,6,45,5.1
2039,5,5,6,45,5.5
2039,5,15,6,45,5.5
2039,5,25,6,45,6.2
2039,5,35,6,45,6.1
2039,5,45,6,45,5.4
2039,10,5,6,45,4.9
2039,10,15,6,45,5.4
2039,10,25,6,45,13.2
2039,10,35,6,45,7.4
2039,10,45,6,45,5.9
2039,20,5,6,45,4.9
2039,20,15,6,45,5.2
2039,20,25,6,45,15
2039,20,35,6,45,12.5
2039,20,45,6,45,13.8
2039,5,0,6,45,4
2039,10,0,6,45,2
2039,20,0,6,45,1.3
2039,2,5,6,45,0
2039,2,15,6,45,1.4
2039,2,25,6,45,0
2039,2,35,6,45,0
2039,2,45,6,45,0
2039,5,5,6,45,0.7
2039,5,15,6,45,3.6
2039,5,25,6,45,0
2039,5,35,6,45,0
2039,5,45,6,45,0.7
2039,10,5,6,45,1.2
2039,10,15,6,45,4.9
2039,10,25,6,45,0
2039,10,35,6,45,0
2039,10,45,6,45,0.5
2039,20,5,6,45,3.1
2039,20,15,6,45,6
2039,5,0,6,45,0.26
2039,10,0,6,45,0.52
2039,20,0,6,45,0.78
2039,2,5,6,45,1.07
2039,2,15,6,45,1.44
2039,2,25,6,45,0.43
2039,2,35,6,45,0.73
2039,2,45,6,45,1.03
2039,5,5,6,45,1.35
2039,5,15,6,45,1.74
2039,5,25,6,45,0.69
2039,5,35,6,45,1.04
2039,5,45,6,45,1.37
2039,10,5,6,45,1.71
2039,10,15,6,45,2.15
2039,10,25,6,45,1.2
2039,10,35,6,45,1.59
2039,10,45,6,45,1.96
2039,20,5,6,45,2.35
2039,20,15,6,45,2.83
2039,20,25,6,45,0.23
2039,20,35,6,45,0.45
2039,20,45,6,45,0.91
2039,5,0,6,45,
2039,10,0,6,45,
2039,20,0,6,45,
23.2,,31,,37,
2447,,34,,37,
2447,,37,,37,
2447,,37,,37,
2468,,58,,37,
265,25,30,1.25,,
265,27,30,1.25,,
267,30.4,30,1.25,,
267,36.5,30,1.25,,
267,36.8,31,1.25,,
273,36.8,31,1.25,,
270,42.7,32,1.25,,
276,34,32,1.25,,
272,46.8,31,1.25,,
277,34.8,31,1.25,,
274,40,31,1.25,,
274,42,32,1.25,,
275,43.5,32,1.25,,
275,45,33,1.25,,
276,45.2,33,1.25,,
276,46,34,1.25,,
277,46,34,1.25,,
278,47.2,34,1.25,,
278,47.5,35,1.25,,
276,47,35,1.25,,
277,47.5,36,1.25,,
277,48.5,35,1.25,,
283,48.8,36,1.25,,
278,48.7,36,1.25,,
278,49.2,37,1.25,,
279,49.5,37,1.25,,
279,49.8,38,1.25,,
279,50,39,1.25,,
280,50.5,38,1.25,,
280,50,38,1.25,,
176,0.12,40.7,,,
176,0.08,40.3,,,
176,0.053,39.6,,,
180,0.15,39.4,,,
180,0.12,39,,,
180,0.09,38.6,,,
183,0.26,41,,,
183,0.15,40,,,
183,0.04,38.3,,,
166,0,43,,,
166,0.01,41,,,
166,0.09,38.6,,,
122,1.14,38.7,,,1.07
122,0.9,35.8,,,1.03
122,0.61,33.4,,,1.45
,,,63.6,37.5,1.37
,,,63.9,38,1.44
,,,68.6,30.15,
,,,48.8,34.88,
,,,66.5,31.15,
1799,14.71,32.5,62,,1
1420,3.53,33.7,62,,1.1
2650,98.07,35,62,,1.5
,131,8,28,30,4.4
,108,21,28,30,3.8
,46,14,28,30,3.8
,112,10,28,30,0.9
,50,29,28,30,1.4
,142,12,28,30,1.4
,29,14,28,30,1.2
,56,21,28,30,1.5
,29,14,28,30,1.8
,226,22,28,30,1.7
,58,13,28,30,1.8
,24,32,28,30,1.8
,131,8,28,30,3.3
,108,21,28,30,NA
,46,14,28,30,3.5
,112,10,28,30,1.8
,50,29,28,30,1.9
,142,12,28,30,1.9
,29,14,28,30,2.1
,56,21,28,30,2.2
,29,14,28,30,2.2
,226,22,28,30,0.99
,58,13,28,30,0.99
,24,32,28,30,1
1886,20,4,45,,0.99
1886,30,3,45,,1
1886,0,8,45,,1.11
1886,0,8,45,,1
1886,20,6,45,,1.88
1905,26.34,15,8.23,,1.78
1682,11.49,0,3.66,,1.99
1921,14.36,25,30.5,,1.25
2900,29.42,35,100,,1.13
2900,39.23,38,100,,1.02
2101,16.28,27,40,,1.09
1509,0,17,50,,0.78
1428,11.97,26,88,,2
1886,25,0,6,,1.7
1886,12,0,6,,1.02
2284,10,35,10,,0.89
2182,10,30,20,,1.46
2243,20,36,50,,0.8
2243,0,36,50,,1.44
1223,0,30,4,,0.86
1223,0,30,8,,1.08
1223,0,30,4,,1.4
1223,0,30,8,,1.35
2087,0,32,214,,1.03
2081,24.9,13,10.67,,1.28
2001,11.97,20,12.19,,1.63
2225,8.62,32,12.8,,1.05
2081,33.52,11,45.72,,1.03
1921,15.32,30,10.67,,1.09
1921,0,20,7.62,,1.11
2185,0,20,61,,1.01
1943,11.71,28,21,,0.63
1921,14.36,25,30.5,,1.12
2193,6.94,30,76.81,,1.2
1428,11.97,26,88,,0.9
1835,24,30,20,,0.96
2345,0,20,100,,0.83
2284,10,35,10,,0.79
