Density,CO,FA,ODH,DAS,FOS
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.6936918429003023
1760.5294570707072,347.3348309232481,26.021077257889008,53.60598278335725,38.22633123689727,1.6936918429003023
1937.0,18.33,36.12,53.60598278335725,38.22633123689727,1.6936918429003023
1466.04,8.18,23.03,15.0,38.22633123689727,1.6936918429003023
1410.3,11.8,25.4,15.0,38.22633123689727,1.6936918429003023
1417.17,4.69,20.46,15.0,38.22633123689727,1.07
1439.31,12.15,19.52,15.0,38.22633123689727,1.29
1562.9,15.69,29.57,15.0,38.22633123689727,1.36
1760.5294570707072,347.3348309232481,23.5,65.0,45.0,1.59
1760.5294570707072,347.3348309232481,23.5,33.0,43.0,1.36
1760.5294570707072,347.3348309232481,23.5,28.0,43.0,1.08
1760.5294570707072,347.3348309232481,23.5,30.0,45.0,1.04
1760.5294570707072,347.3348309232481,23.5,40.0,45.0,1.01
1760.5294570707072,347.3348309232481,23.5,81.5,37.01,1.2
1760.5294570707072,347.3348309232481,23.5,62.5,36.33,1.26
1760.5294570707072,347.3348309232481,23.5,74.0,36.54,1.03
1760.5294570707072,347.3348309232481,23.5,46.0,40.0,1.28
1760.5294570707072,347.3348309232481,23.5,25.0,36.0,1.02
1760.5294570707072,347.3348309232481,23.5,66.0,42.0,1.0
1760.5294570707072,347.3348309232481,23.5,42.0,40.0,1.0
1760.5294570707072,347.3348309232481,23.5,80.0,39.15,1.3
1760.5294570707072,347.3348309232481,23.5,57.0,38.89,1.0
1760.5294570707072,347.3348309232481,23.5,87.0,39.15,1.6936918429003023
1677.0,32.0,14.0,53.60598278335725,38.22633123689727,1.6936918429003023
1611.0,13.0,37.0,53.60598278335725,38.22633123689727,1.12
1522.0,15.0,20.0,53.60598278335725,38.22633123689727,1.6936918429003023
1692.0,34.0,10.0,53.60598278335725,38.22633123689727,1.6936918429003023
1571.0,18.0,22.0,53.60598278335725,38.22633123689727,3.45
1568.0,27.0,8.0,53.60598278335725,38.22633123689727,1.8
1613.0,18.0,18.0,53.60598278335725,38.22633123689727,1.37
1697.0,32.0,14.0,5.0,40.0,1.13
